Feature,Importance
Age,0.38575102206975065
NumOfProducts,0.281844539724403
EngagementProductInteraction,0.06759370539091719
Balance,0.06053064762800386
IsActiveMember,0.05987736748277177
Geography_Germany,0.05942607490888725
BalanceSalaryRatio,0.02326853118409759
CreditScore,0.017508643788508797
EstimatedSalary,0.015736851430815782
Gender_Male,0.013206028961322168
AgeTenureInteraction,0.008805799190426357
ProductDensity,0.003546837152039987
IsZeroBalance,0.0014760237390734066
HasCrCard,0.0007584815298933567
Tenure,0.0003439845740821672
Geography_Spain,0.0003254612450065432
